dev,1.0
test,layer_1
accuracy,0.2679425837320574
dev,1.0
test,layer_1
accuracy,0.20574162679425836
dev,1.0
test,layer_1
accuracy,0.3157894736842105
dev,1.0
test,layer_1
accuracy,0.10047846889952153
dev,2.0
errorbar,0.35167464114832536
layer1,0.15311004784688995
layer2,0.19856459330143542
dev,2.0
errorbar,0.15789473684210525
layer1,0.023923444976076555
layer2,0.1339712918660287
dev,2.0
errorbar,0.26555023923444976
layer1,0.10287081339712918
layer2,0.16267942583732056
dev,2.0
errorbar,0.3708133971291866
layer1,0.1674641148325359
layer2,0.20334928229665072
